Date,predict_gru
2023-07-07,2462.729789
2023-07-10,2447.587521
2023-07-11,2431.967265
2023-07-12,2416.894005
2023-07-13,2402.587595
2023-07-14,2388.99175
2023-07-17,2376.055685
2023-07-18,2363.736701
2023-07-19,2351.99706
2023-07-20,2340.803551
2023-07-21,2330.126093
2023-07-24,2319.936757
2023-07-25,2310.209342
2023-07-26,2300.920235
2023-07-27,2291.970453
2023-07-28,2283.142621
2023-07-31,2274.38067
2023-08-01,2265.678993
2023-08-02,2257.035756
2023-08-03,2248.449128
2023-08-04,2239.917383
2023-08-07,2231.439011
2023-08-08,2223.01261
2023-08-09,2214.636564
2023-08-10,2206.309578
2023-08-11,2198.029927
2023-08-14,2189.796533
2023-08-15,2181.607778
2023-08-16,2173.462585
2023-08-17,2165.359443